country;code_3;code_2;population
Russian Federation;RUS;RU;143439832
Canada;CAN;CA;36286378
China;CHN;CN;1382323332
United States of America;USA;US;324118787
Brazil;BRA;BR;209567920
Australia;AUS;AU;24309330
India;IND;IN;1326801576
Argentina;ARG;AR;43847277
Kazakhstan;KAZ;KZ;17855384
Algeria;DZA;DZ;40375954
Congo, the Democratic Republic of the;COD;CD;79722624
Greenland;GRL;GL;56196
Saudi Arabia;SAU;SA;32157974
Mexico;MEX;MX;128632004
Indonesia;IDN;ID;260581100
Sudan;SDN;SD;41175541
Libya;LBY;LY;6330159
Iran, Islamic Republic of;IRN;IR;80043146
Mongolia;MNG;MN;3006444
Peru;PER;PE;31774225
Chad;TCD;TD;14496739
Niger;NER;NE;20715285
Germany;DEU;DE;80682351
Japan;JPN;JP;126323715
Spain;ESP;ES;46064604
France;FRA;FR;64668129
Norway;NOR;NO;5271958
Sweden;SWE;SE;9851852
Finland;FIN;FI;5523904
Poland;POL;PL;38593161
Italy;ITA;IT;59801004
Turkey;TUR;TR;79622062
