from;to;week;year;passengers
WS;AD;1;2016;0
WS;AD;2;2016;0
WS;AD;3;2016;0
WS;AD;4;2016;0
WS;AD;5;2016;0
WS;AD;6;2016;0
WS;AD;7;2016;0
WS;AD;8;2016;0
WS;AD;9;2016;0
WS;AD;10;2016;0
WS;AD;11;2016;0
WS;AD;12;2016;0
WS;AD;13;2016;0
WS;AD;14;2016;0
WS;AD;15;2016;0
WS;AD;16;2016;0
WS;AD;17;2016;0
WS;AD;18;2016;0
WS;AD;19;2016;0
WS;AD;20;2016;0
WS;AD;21;2016;0
WS;AD;22;2016;0
WS;AD;23;2016;0
WS;AD;24;2016;0
WS;AD;25;2016;0
WS;AD;26;2016;0
WS;AD;27;2016;0
WS;AD;28;2016;0
WS;AD;29;2016;0
WS;AD;30;2016;0
WS;AD;31;2016;0
WS;AD;32;2016;0
WS;AD;33;2016;0
WS;AD;34;2016;0
WS;AD;35;2016;0
WS;AD;36;2016;0
WS;AD;37;2016;0
WS;AD;38;2016;0
WS;AD;39;2016;0
WS;AD;40;2016;0
WS;AD;41;2016;0
WS;AD;42;2016;0
WS;AD;43;2016;0
WS;AD;44;2016;0
WS;AD;45;2016;0
WS;AD;46;2016;0
WS;AD;47;2016;0
WS;AD;48;2016;0
WS;AD;49;2016;0
WS;AD;50;2016;0
WS;AD;51;2016;0
WS;AD;52;2016;0
WS;AE;1;2016;0
WS;AE;2;2016;0
WS;AE;3;2016;0
WS;AE;4;2016;0
WS;AE;5;2016;0
WS;AE;6;2016;0
WS;AE;7;2016;0
WS;AE;8;2016;0
WS;AE;9;2016;0
WS;AE;10;2016;0
WS;AE;11;2016;0
WS;AE;12;2016;0
WS;AE;13;2016;0
WS;AE;14;2016;0
WS;AE;15;2016;0
WS;AE;16;2016;0
WS;AE;17;2016;0
WS;AE;18;2016;0
WS;AE;19;2016;0
WS;AE;20;2016;0
WS;AE;21;2016;0
WS;AE;22;2016;0
WS;AE;23;2016;0
WS;AE;24;2016;0
WS;AE;25;2016;0
WS;AE;26;2016;0
WS;AE;27;2016;0
WS;AE;28;2016;0
WS;AE;29;2016;0
WS;AE;30;2016;0
WS;AE;31;2016;0
WS;AE;32;2016;0
WS;AE;33;2016;0
WS;AE;34;2016;0
WS;AE;35;2016;0
WS;AE;36;2016;0
WS;AE;37;2016;0
WS;AE;38;2016;0
WS;AE;39;2016;0
WS;AE;40;2016;0
WS;AE;41;2016;0
WS;AE;42;2016;0
WS;AE;43;2016;0
WS;AE;44;2016;0
