from;to;week;year;passengers
DE;AD;1;2016;0
DE;AD;2;2016;0
DE;AD;3;2016;0
DE;AD;4;2016;0
DE;AD;5;2016;0
DE;AD;6;2016;0
DE;AD;7;2016;0
DE;AD;8;2016;0
DE;AD;9;2016;0
DE;AD;10;2016;0
DE;AD;11;2016;0
DE;AD;12;2016;0
DE;AD;13;2016;0
DE;AD;14;2016;0
DE;AD;15;2016;0
DE;AD;16;2016;0
DE;AD;17;2016;0
DE;AD;18;2016;0
DE;AD;19;2016;0
DE;AD;20;2016;0
DE;AD;21;2016;0
DE;AD;22;2016;0
DE;AD;23;2016;0
DE;AD;24;2016;0
DE;AD;25;2016;0
DE;AD;26;2016;0
DE;AD;27;2016;0
DE;AD;28;2016;0
DE;AD;29;2016;0
DE;AD;30;2016;0
DE;AD;31;2016;0
DE;AD;32;2016;0
DE;AD;33;2016;0
DE;AD;34;2016;0
DE;AD;35;2016;0
DE;AD;36;2016;0
DE;AD;37;2016;0
DE;AD;38;2016;0
DE;AD;39;2016;0
DE;AD;40;2016;0
DE;AD;41;2016;0
DE;AD;42;2016;0
DE;AD;43;2016;0
DE;AD;44;2016;0
DE;AD;45;2016;0
DE;AD;46;2016;0
DE;AD;47;2016;0
DE;AD;48;2016;0
DE;AD;49;2016;0
DE;AD;50;2016;0
DE;AD;51;2016;0
DE;AD;52;2016;0
DE;AE;1;2016;525
DE;AE;2;2016;525
DE;AE;3;2016;525
DE;AE;4;2016;525
DE;AE;5;2016;525
DE;AE;6;2016;525
DE;AE;7;2016;525
DE;AE;8;2016;525
DE;AE;9;2016;525
DE;AE;10;2016;525
DE;AE;11;2016;525
DE;AE;12;2016;525
DE;AE;13;2016;525
DE;AE;14;2016;525
DE;AE;15;2016;525
DE;AE;16;2016;525
DE;AE;17;2016;525
DE;AE;18;2016;525
DE;AE;19;2016;525
DE;AE;20;2016;525
DE;AE;21;2016;525
DE;AE;22;2016;525
DE;AE;23;2016;525
DE;AE;24;2016;525
DE;AE;25;2016;525
DE;AE;26;2016;525
DE;AE;27;2016;525
DE;AE;28;2016;525
DE;AE;29;2016;525
DE;AE;30;2016;525
DE;AE;31;2016;525
DE;AE;32;2016;525
DE;AE;33;2016;525
DE;AE;34;2016;525
DE;AE;35;2016;525
DE;AE;36;2016;525
DE;AE;37;2016;525
DE;AE;38;2016;525
DE;AE;39;2016;525
DE;AE;40;2016;525
DE;AE;41;2016;525
DE;AE;42;2016;525
DE;AE;43;2016;525
DE;AE;44;2016;525
DE;AE;45;2016;525
DE;AE;46;2016;525
DE;AE;47;2016;525
DE;AE;48;2016;525
DE;AE;49;2016;525
DE;AE;50;2016;525
DE;AE;51;2016;525
DE;AE;52;2016;525
DE;AF;1;2016;0
DE;AF;2;2016;0
DE;AF;3;2016;0
DE;AF;4;2016;0
DE;AF;5;2016;0
DE;AF;6;2016;0
DE;AF;7;2016;0
DE;AF;8;2016;0
DE;AF;9;2016;0
DE;AF;10;2016;0
DE;AF;11;2016;0
DE;AF;12;2016;0
DE;AF;13;2016;0
DE;AF;14;2016;0
DE;AF;15;2016;0
DE;AF;16;2016;0
DE;AF;17;2016;0
DE;AF;18;2016;0
DE;AF;19;2016;0
DE;AF;20;2016;0
DE;AF;21;2016;0
DE;AF;22;2016;0
DE;AF;23;2016;0
DE;AF;24;2016;0
DE;AF;25;2016;0
DE;AF;26;2016;0
DE;AF;27;2016;0
DE;AF;28;2016;0
DE;AF;29;2016;0
DE;AF;30;2016;0
DE;AF;31;2016;0
DE;AF;32;2016;0
DE;AF;33;2016;0
DE;AF;34;2016;0
DE;AF;35;2016;0
DE;AF;36;2016;0
DE;AF;37;2016;0
DE;AF;38;2016;0
DE;AF;39;2016;0
DE;AF;40;2016;0
DE;AF;41;2016;0
DE;AF;42;2016;0
DE;AF;43;2016;0
DE;AF;44;2016;0
DE;AF;45;2016;0
DE;AF;46;2016;0
DE;AF;47;2016;0
DE;AF;48;2016;0
DE;AF;49;2016;0
DE;AF;50;2016;0
DE;AF;51;2016;0
DE;AF;52;2016;0
DE;AG;1;2016;0
DE;AG;2;2016;0
DE;AG;3;2016;0
DE;AG;4;2016;0
DE;AG;5;2016;0
DE;AG;6;2016;0
DE;AG;7;2016;0
DE;AG;8;2016;0
DE;AG;9;2016;0
DE;AG;10;2016;0
DE;AG;11;2016;0
DE;AG;12;2016;0
DE;AG;13;2016;0
DE;AG;14;2016;0
DE;AG;15;2016;0
DE;AG;16;2016;0
DE;AG;17;2016;0
DE;AG;18;2016;0
DE;AG;19;2016;0
DE;AG;20;2016;0
DE;AG;21;2016;0
DE;AG;22;2016;0
DE;AG;23;2016;0
DE;AG;24;2016;0
DE;AG;25;2016;0
DE;AG;26;2016;0
DE;AG;27;2016;0
DE;AG;28;2016;0
