"id" "country" "week" "infected_number" "infected_percentage"
"1" "AFG" 23 63 0.009
"2" "ALB" 48 65 0.005
"3" "DZA" 6 25 0.005
"4" "ARG" 30 9 0.009
"5" "ARM" 43 23 0.009
"6" "AUS" 32 5 0.01
"7" "AUT" 27 47 0.004
"8" "BHR" 42 12 0.003
"9" "BGD" 40 14 0.008
"10" "BRB" 44 19 0.003
"11" "BLR" 14 8 0.002
"12" "BEL" 43 34 0.01
"13" "BTN" 51 39 0.003
"14" "BIH" 13 39 0.009
"15" "BRA" 47 30 0.004
"16" "BGR" 28 68 0.005
"17" "BFA" 44 59 0.005
"18" "KHM" 6 8 0.006
"19" "CMR" 3 31 0.008
"20" "CAN" 50 12 0.006
