from;to;week;year;passengers
RU;CA;1;2016;2940
RU;CA;2;2016;2940
RU;CA;3;2016;2940
RU;CA;4;2016;2940
RU;CA;5;2016;2940
RU;CA;6;2016;2940
RU;CA;7;2016;2940
RU;CA;8;2016;2940
RU;CA;9;2016;2940
RU;CA;10;2016;2940
RU;CA;11;2016;2940
RU;CA;12;2016;2940
RU;CA;13;2016;2940
RU;CA;14;2016;2940
RU;CA;15;2016;2940
RU;CA;16;2016;2940
RU;CA;17;2016;2940
RU;CA;18;2016;2940
RU;CA;19;2016;2940
RU;CA;20;2016;2940
RU;CA;21;2016;2940
RU;CA;22;2016;2940
RU;CA;23;2016;2940
RU;CA;24;2016;2940
RU;CA;25;2016;2940
RU;CA;26;2016;2940
RU;CA;27;2016;2940
RU;CA;28;2016;2940
RU;CA;29;2016;2940
RU;CA;30;2016;2940
RU;CA;31;2016;2940
RU;CA;32;2016;2940
RU;CA;33;2016;2940
RU;CA;34;2016;2940
RU;CA;35;2016;2940
RU;CA;36;2016;2940
RU;CA;37;2016;2940
RU;CA;38;2016;2940
RU;CA;39;2016;2940
RU;CA;40;2016;2940
RU;CA;41;2016;2940
RU;CA;42;2016;2940
RU;CA;43;2016;2940
RU;CA;44;2016;2940
RU;CA;45;2016;2940
RU;CA;46;2016;2940
RU;CA;47;2016;2940
RU;CA;48;2016;2940
RU;CA;49;2016;2940
RU;CA;50;2016;2940
RU;CA;51;2016;2940
RU;CA;52;2016;2940
RU;CN;1;2016;18375
RU;CN;2;2016;18375
RU;CN;3;2016;18375
RU;CN;4;2016;18375
RU;CN;5;2016;18375
RU;CN;6;2016;18375
RU;CN;7;2016;18375
RU;CN;8;2016;18375
RU;CN;9;2016;18375
RU;CN;10;2016;18375
RU;CN;11;2016;18375
RU;CN;12;2016;18375
RU;CN;13;2016;18375
RU;CN;14;2016;18375
RU;CN;15;2016;18375
RU;CN;16;2016;18375
RU;CN;17;2016;18375
RU;CN;18;2016;18375
RU;CN;19;2016;18375
